传输轮数,发送站点序号,接收站点序号,发送信息所属站点序号,接收站点消息队列
1,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
1,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
1,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
1,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
1,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
1,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
1,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
1,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
1,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
1,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
